x,y,z,srp_score
1.02,0.13999999999999999,0.0,0.007798162056694512
1.04,0.13999999999999999,0.0,0.01596386339315855
1.06,0.13999999999999999,0.0,0.023853259008508022
1.08,0.13999999999999999,0.0,0.030309251194372968
1.1,0.13999999999999999,0.0,0.03252703575673769
1.12,0.13999999999999999,0.0,0.030247284917718064
1.1400000000000001,0.13999999999999999,0.0,0.026226015366578585
1.1600000000000001,0.13999999999999999,0.0,0.019967441235363162
1.18,0.13999999999999999,0.0,0.013046066361760606
0.02,0.16,0.0,0.005150214903438339
0.04,0.16,0.0,0.008074379967904772
0.06,0.16,0.0,0.00418654845421462
0.08,0.16,0.0,0.0049213821388755285
0.1,0.16,0.0,0.0039019908888375436
0.12000000000000001,0.16,0.0,-0.001716043692915126
0.13999999999999999,0.16,0.0,0.029841922646771844
0.16,0.16,0.0,0.002718797965671221
0.18,0.16,0.0,0.0008793066784091799
0.19999999999999998,0.16,0.0,-0.003193878701673999
0.22,0.16,0.0,0.0049337287217950014
0.24,0.16,0.0,-0.010822994866377595
0.26,0.16,0.0,0.027636564712338895
0.28,0.16,0.0,0.012677829542191316
0.30000000000000004,0.16,0.0,-0.003642793966841664
0.32,0.16,0.0,0.014015152598213993
0.34,0.16,0.0,0.006844704336070399
0.36000000000000004,0.16,0.0,0.03316786114071443
0.38,0.16,0.0,-0.009319684844621465
0.4,0.16,0.0,0.03138454392941092
0.42000000000000004,0.16,0.0,0.0015882476973698321
0.44,0.16,0.0,0.0064164356128360136
0.46,0.16,0.0,0.016250492353388747
0.48000000000000004,0.16,0.0,0.012859846611925978
0.5,0.16,0.0,0.03280148495412938
0.52,0.16,0.0,0.0038320552235643316
0.54,0.16,0.0,0.016563522750265455
0.56,0.16,0.0,-0.01065167238831611
0.5800000000000001,0.16,0.0,-0.01031705857264908
0.6,0.16,0.0,0.025252498014531995
0.62,0.16,0.0,0.006175393004793709
0.64,0.16,0.0,0.024657102537371755
0.66,0.16,0.0,-0.007629858557793677
0.68,0.16,0.0,-0.0045402597089041555
0.7000000000000001,0.16,0.0,-0.0022162593137572888
0.7200000000000001,0.16,0.0,-0.0011103840544186006
0.74,0.16,0.0,-0.0011801938212902814
0.76,0.16,0.0,0.0003947761052824093
0.78,0.16,0.0,0.0013520025996251192
0.8,0.16,0.0,0.0025771235940972585
0.8200000000000001,0.16,0.0,0.0037595802773170376
0.8400000000000001,0.16,0.0,0.0033790077636351675
0.86,0.16,0.0,0.00033638555236729196
0.88,0.16,0.0,-0.0024821826557088
0.9,0.16,0.0,-0.0059162738074849475
0.92,0.16,0.0,-0.003492554919889668
0.9400000000000001,0.16,0.0,0.0015205027151540486
0.9600000000000001,0.16,0.0,0.010546124150054879
0.98,0.16,0.0,0.02045270836303241
1.0,0.16,0.0,0.026106659670296916
