scene_id,source_id,experiment_id,variable,value,source_count,mic_layout,num_mics,num_pairs,rt60,snr,scene_type,grid_spacing_m,search_plane_z,source_plane_z,true_x,true_y,true_z,pred_x,pred_y,pred_z,error_cm,hit_10cm,hit_20cm,score,srp_peak_score,matched,seed,noise_seed
scene_0061,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.7117273976243993,0.22178073581573643,0.35,0.6200000000000001,0.38000000000000006,0.35,18.288589621388095,False,True,0.6347383416466476,0.6347383416466476,False,20260687,20300687
scene_0062,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.49162020954431895,0.4169344247239129,0.35,0.5800000000000001,0.36000000000000004,0.35,10.513094729732536,False,True,0.7405188034716644,0.7405188034716644,False,20260688,20300688
scene_0063,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6767045605719935,0.3815852738476891,0.35,0.6200000000000001,0.38000000000000006,0.35,5.6726715776916175,True,True,0.6194267524893298,0.6194267524893298,True,20260689,20300689
scene_0064,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8956429074330077,0.24236075065782836,0.35,0.8600000000000001,0.3400000000000001,0.35,10.394152135879448,False,True,0.5888984389495495,0.5888984389495495,False,20260690,20300690
scene_0065,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.09543111146115485,0.12395250437408734,0.35,0.08,0.08,0.35,4.658263455066438,True,True,0.5540866025364347,0.5540866025364347,True,20260691,20300691
scene_0066,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.29995610652669735,0.5019720349974658,0.35,0.30000000000000004,0.4000000000000001,0.35,10.19720444443543,False,True,0.6647979161508332,0.6647979161508332,False,20260692,20300692
scene_0067,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4963736848302572,0.1860402101406383,0.35,0.4600000000000001,0.32000000000000006,0.35,13.881019504090917,False,True,0.6463183405243154,0.6463183405243154,False,20260693,20300693
scene_0068,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0198152943289522,0.4746751353986092,0.35,1.0000000000000002,0.38000000000000006,0.35,9.672655866972615,True,True,0.6250934970122741,0.6250934970122741,True,20260694,20300694
scene_0069,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6983806504653327,0.6074763415625563,0.35,0.6200000000000001,0.08,0.35,53.3268053867459,False,False,0.6260932791625433,0.6260932791625433,False,20260695,20300695
scene_0070,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0385908593598296,0.6673083359217676,0.35,1.1000000000000003,0.66,0.35,6.184249613420904,True,True,0.5509361220685551,0.5509361220685551,True,20260696,20300696
scene_0071,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.8616413978164373,0.14331092565171408,0.35,0.8800000000000001,0.08,0.35,6.591897739658272,True,True,0.6291030517942384,0.6291030517942384,True,20260697,20300697
scene_0072,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.4286484224972069,0.5546717114732097,0.35,0.4800000000000001,0.5800000000000001,0.35,5.72582457967559,True,True,0.7063372250080708,0.7063372250080708,True,20260698,20300698
scene_0073,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0997803196299096,0.6430175115956258,0.35,1.1200000000000003,0.66,0.35,2.6405309819680887,True,True,0.601463262789377,0.601463262789377,True,20260699,20300699
scene_0074,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,1.0355284689865534,0.11410422938890838,0.35,1.1200000000000003,0.30000000000000004,0.35,20.418784753958143,False,False,0.611057046778903,0.611057046778903,False,20260700,20300700
scene_0075,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9272671378460657,0.2681617414953122,0.35,0.6000000000000001,0.3400000000000001,0.35,33.50589722704677,False,False,0.6714129871881079,0.6714129871881079,False,20260701,20300701
scene_0076,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.17952941098013184,0.33526845255214843,0.35,0.2,0.4000000000000001,0.35,6.789122365824478,True,True,0.6469329391079521,0.6469329391079521,True,20260702,20300702
scene_0077,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.15451683624701976,0.25986839460449285,0.35,0.52,0.3400000000000001,0.35,37.41644253134564,False,False,0.5846752054365858,0.5846752054365858,False,20260703,20300703
scene_0078,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.43273947069747487,0.4437836688725199,0.35,0.4200000000000001,0.38000000000000006,0.35,6.5043451080728145,True,True,0.7443198259338603,0.7443198259338603,True,20260704,20300704
scene_0079,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.7187791900182984,0.4679022198636434,0.35,0.7400000000000001,0.38000000000000006,0.35,9.042744623860493,True,True,0.6561217134309343,0.6561217134309343,True,20260705,20300705
scene_0080,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6142367489827001,0.24127070957478253,0.35,0.6000000000000001,0.3400000000000001,0.35,9.975047774052696,True,True,0.8316482705240075,0.8316482705240075,True,20260706,20300706
scene_0081,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.947274907987723,0.3710787271578805,0.35,0.8200000000000001,0.38000000000000006,0.35,12.758719102012893,False,True,0.6971527903606911,0.6971527903606911,False,20260707,20300707
scene_0082,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.7642649515826427,0.3064189465987612,0.35,0.7600000000000001,0.38000000000000006,0.35,7.3704553669622435,True,True,0.7634427097316165,0.7634427097316165,True,20260708,20300708
scene_0083,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.5125569539313485,0.6562160396339682,0.35,0.4200000000000001,0.66,0.35,9.263427053257043,True,True,0.5274162624118088,0.5274162624118088,True,20260709,20300709
scene_0084,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.9359675316131085,0.6385842072892546,0.35,0.9200000000000002,0.66,0.35,2.671325968962293,True,True,0.6384019008259771,0.6384019008259771,True,20260710,20300710
scene_0085,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.6350132956645371,0.48346975387782437,0.35,0.6200000000000001,0.4000000000000001,0.35,8.48091908883428,True,True,0.6934755273155617,0.6934755273155617,True,20260711,20300711
scene_0086,source_001,E1,mic_count,4,1,mic_4,4,6,0.3,20.0,reverberant_single_source_rt60_0.30_snr_20db,0.02,0.35,0.35,0.1791544614784213,0.12590708508960607,0.35,0.12000000000000001,0.2,0.35,9.48103915861595,True,True,0.5851794477023795,0.5851794477023795,True,20260712,20300712
